,mo_class,count_elem,index_process
215,WRAB,296,0
216,TOPP,830,0
217,TNL_R,14239,0
218,TFR,59,0
219,TABLEOFEATFS,1,0
220,SVSMM,144,0
221,SCSCFFEE,1,0
222,SCTPDynaReconfigThresholds,6,0
223,SIPiaPortStatusRecord,120,0
224,WCAL,53515,0
225,RNHSPA,78,0
226,PrImpOfCallControl,5,0
227,O3RNK,2100,0
228,PCP2QMAP,5109,0
229,TOPF_R,12349,0
230,RETU,88122,0
231,NationalToInternational,18,0
232,PreanaFinalResultEPC,1607,0
233,MCCMNCS,9,0
234,MPUCCH_FDD,68314,0
235,IUO,78,0
236,EOSAASubAna,40,0
237,DTMFList,48,0
238,Alarm,24,0
239,ASA,5367,0
240,CLOCK,18146,0
241,GenericParametersOCS,25,0
242,DSCP2PCPMAP,14093,0
243,BTSSCW,11908,0
244,DispatcherInstance,84,0
245,IAIF,390,0
246,GlobalTitleResult,9,0
247,CdrFieldPtc,290,0
248,HLR,1,0
249,FprSystemFunctionConf,5,0
250,CdrFieldMtc,370,0
251,VoiceAnnouncementData,1158,0
252,TMPAR,11880,0
253,SmsFallbackAllowed,10,0
254,SipFilterHeaderRuleRecord,11,0
255,SYSTEMUMSTP,13,0
256,OtasSoapNds,5,0
257,PCAPSERV2RXAF,26,0
258,NMTIMER,1,0
259,MCFTIMER,1,0
260,LMMEP,48,0
261,LUAC,28650,0
262,IpFlooding,24,0
263,IPHB,355,0
264,IPNB,18164,0
265,CLOCK_TDD,21,0
266,AIR,877,0
267,FephRemoteIpPolicyTable,6,0
268,ETHSVC,14069,0
269,EXGCE,20590,0
270,CdrFieldCtc,130,0
271,GPS,16,0
272,EosAAAnaRes,65,0
273,TRACKINGAREA,123,0
274,TID,10113,0
275,TrafficaConnection,10,0
276,SipFilterSet,6,0
277,SIPAggTrustRateLmtSetRecord,72,0
278,SCCTP,57,0
279,SAACTIVATION,1,0
280,PRCSCMPLTHIST,1,0
281,PimNpu,78,0
282,OSP,196,0
283,RESOURCEMAN,2,0
284,OcsConnectionParameters,25,0
285,OcsAddress,25,0
286,NetconfInfo,3,0
287,PCVP8BWTBL,18,0
288,NODETABLE,27,0
289,M3UALBS,61,0
290,MTPDPC,44,0
291,MediaResourControSubana,5,0
292,LNC,1053,0
293,NMSYSTEM,4,0
294,H248UP,833,0
295,ACTPADAPTER,9,0
296,CARRIERGROUPC_R,9,0
297,CIPANODCFG,16,0
298,H248ProtocolEncodingSchemesFo,12,0
299,ID,9,0
300,H248DeviceAdProvisioning,12,0
301,CFPNDNGOfGTermAASubAna,5,0
302,CdrFieldPbxt,215,0
303,IBOFFEVENT,2,0
304,CONTROLLER_R,2,0
305,CommonTimersOfAllDestinations,35,0
306,CERTHENT,100,0
307,CPIProfile,6,0
308,ACBPR,13621,0
309,IMSLBSYSTEM,4,0
310,VnfcGeneral,24,0
311,VPCT,1566,0
312,UseOfSupplementaryService,5,0
313,TRSNW,11026,0
314,SCSCFANAMES,2,0
315,QSPEC,204,0
316,PWRMOD,3,0
317,PUNIT,86347,0
318,MobileCodes,62,0
319,NTAS,11,0
320,MgwStateList,84,0
321,MgwRelatedSctpSettings,2,0
322,Msc,5,0
323,IPSECC_R,9101,0
324,LTAB,5,0
325,LinuxIpv4IcmpExtFloodThreshold,72,0
326,HSSFE,18,0
327,Interface,128,0
328,H248Package,3780,0
329,ChargingFtpSftpServer,14,0
330,DNSENUMASIGN,132,0
331,CONFIGUR,6,0
332,H248DeviceServerConfig,12,0
333,EOSAP,133300,0
334,H248Configuration,48,0
335,ANSWERTIMERS,51,0
336,CdrDataFormat,5,0
337,GNSSE_R,420,0
338,CdrStream,13,0
339,BGSYSCONN,1,0
340,EIRNUM,55,0
341,INVKROLESOfGTermAASubAna,5,0
342,SubsystemElement,63,0
343,S8hrMncList,5,0
344,SECADM,15028,0
345,RIMSIOfEOSAASubAna,40,0
346,System,24,0
347,IpMapToProfileRec,5,0
348,H248CompTCPIPConfig,12,0
349,CoreBearerRealmTable,6,0
350,DPREA,2877,0
351,GateH248ComponentParams,48,0
352,HOC,16809,0
353,BBMOD_R,37338,0
354,FprCallForwarding,5,0
355,DISK,32,0
356,UnknownResultOfContSuBAnaEPC,743,0
357,SCONSESSION,2,0
358,RTM,8,0
359,Saturday,5,0
360,PerformanceAlarms,24,0
361,PROTOCOL,1,0
362,OAMPRF,9,0
363,TRIGGER,2422,0
364,NumberModificatFunctiona,36,0
365,Ntp,24,0
366,NFMGWPC,24,0
367,PMMNL,11820,0
368,PCU,2254,0
369,MSCN,55,0
370,NRDRB_RLC_UM,18,0
371,MNL_R,15021,0
372,IUCS,78,0
373,EmergServiceIdTableRecord,12,0
374,ATPCM,32,0
375,HUBFB,2,0
376,BWINFOINIMSSIPSDP,6,0
377,ADJE,302,0
378,CBASSC,2292,0
379,APTOPB,132,0
380,HomeAndFixedDomain,3,0
381,DatapathCheck,24,0
382,FephIpsecParametersTableRecord,6,0
383,VLANID2QMAP,8671,0
384,VideoCodecRecord,36,0
385,TQM,76,0
386,StaticRouteListIpv4,225,0
387,SYCONFDACC,50,0
388,SRV,126,0
389,TRBLCADM,15039,0
390,SCCP,3048,0
391,RETUCONFILEAPPLYRES,23,0
392,SipTrustedRateLimitSet,6,0
393,PAPU,160,0
394,PCSECURITY,2,0
395,NRDRB_QCI,808,0
396,LicensedTargetId,167,0
397,MRBTSDESC,21,0
398,LNRELGNBCELL,2863,0
399,NRSCTP,123,0
400,LOADBALANCER,1,0
401,FaxRelayDefault,24,0
402,CONNR4,99,0
403,IOTFCONFTBL,2,0
404,CdrFieldStc,250,0
405,DetailedACRMsgAVPPopulationOp,6,0
406,FprCallControl,5,0
407,CACERT,3576,0
408,ATI,5,0
409,BGCFPaniAccessInfoTable,6,0
410,CSDAP,921,0
411,ALD_R,89183,0
412,IBSECURITY,2,0
413,EATFCONNECT,1,0
414,HDM,4,0
415,WNPMRNL,10925,0
416,ScpParameterSet,5,0
417,SecurityGatewayProfileRecord,6,0
418,RangeIpMultimediaRoamingRange,5,0
419,Rtp1,48,0
420,SAP,34,0
421,PrOperatorCall,5,0
422,PrCompletionOfCall,5,0
423,OMC,6,0
424,PCCC,10,0
425,RSTP,11065,0
426,NBROfEOSAASubAna,60,0
427,OPTION,1027,0
428,MGWSLC,14,0
429,OverloTraffiRedireParame,72,0
430,MGWPSM,12,0
431,MRSITE,5057,0
432,IPRO,35410,0
433,ListElemDigitAnalysisOfDigAna,31014,0
434,APFTM,134,0
435,Association,80,0
436,BtsState,738,0
437,EATFTIMER,1,0
438,GNEL,17,0
439,CCSP,201,0
440,H248ProtocolEncodingSchemes,12,0
441,HomingAASubAna,15,0
442,APEQM_R,14223,0
443,CONNECTOR_R,153,0
444,USUBAN,598,0
445,SCTPConnMgmtProf,6,0
446,PrioritySettingsOfOfInTrSpD,83,0
447,SCTPProfileTableRecord,6,0
448,NTPS,1185,0
449,SUBMODULE,120606,0
450,M3UAASRKEY,7,0
451,License,167,0
452,IncomingSignallingOfInSign,35,0
453,ESMA,861,0
454,IPDPINMTPD,2,0
455,DefaultCallingLineIdAddress,10,0
456,ADDR,7559,0
457,BSCM,293,0
458,ETHAPP,2697,0
459,DefaultPreanalysis,78,0
460,CFEDServiceTable,6,0
461,DSPP,168,0
462,FprShortMessageService,5,0
463,GTMD,153,0
464,CAUSEOfEOSAASubAna,125,0
465,CdrFieldSom,195,0
466,VISITNETWL,6,0
467,TABOFSCSCFS,6,0
468,SIPAggTrustRateLimitSet,6,0
469,RET,65,0
470,RNIOfOrigAASubAna,8,0
471,ProfileCertificate,24,0
472,PDCCH,204,0
473,PrInAttributes,5,0
474,PEM,2,0
475,MGMNT,5,0
476,MTP,99,0
477,NNSFMSS,40,0
478,LOAMPRF,3,0
479,Ipv6Route,24,0
480,IPPLCYROUT,2,0
481,Ip,24,0
482,Coac,24,0
483,ABTER,2412,0
484,DIABASE,4,0
485,FAN_R,114973,0
486,BAL,1881,0
487,ICSYSTEM,4,0
488,CHRGOFFLINE,4,0
489,DefaultResultOfStartSubanaEPC,16,0
490,EPSFTBL,36,0
491,ANALYS,99,0
492,ANZ,5,0
493,CONNECTOR,77552,0
494,SVOFFLINE,2,0
495,SIGROUTE,87,0
496,SGSM,546,0
497,SFPRES,3,0
498,PrMscServerParam,5,0
499,PCSYSTEM,4,0
500,PSCCPADRTBL,4,0
501,ODCOfRouAASubAna,140,0
502,NNESN,55,0
503,NFRNDPC,8,0
504,NTHLRFE,45,0
505,NextHopIpMonitorGeneral,24,0
506,NECERT_R,16823,0
507,MESSAGEQUEUE,1,0
508,MgParameters,48,0
509,MgwParameterSet,2,0
510,LNA_R,1,0
511,IpngTfclass,24,0
512,IPCONF,1,0
513,ISBC,11,0
514,H248CompPoolInfo,12,0
515,ENUMCFGTABLE,2,0
516,H248AlarmConfig,48,0
517,ADMFHTTPCLTB,1,0
518,ContSubanaForExtPreanaListEPC,743,0
519,BACKRES,2,0
520,EndpointOfEndpoints,23,0
521,ATTSA,2109,0
522,H248Parameters,48,0
523,XPIF,147,0
524,Sunday,5,0
525,XPIFREMOTE,147,0
526,UNI,448,0
527,TSVS,61,0
528,SAI,9,0
529,RNC,78,0
530,ResourceContextRealm,72,0
531,PINGRES,3,0
532,NtpTable,3,0
533,NextHopIpMonitor,24,0
534,LNADJGNB,177,0
535,InstalledLicense,169,0
536,IPADDRESSV4_R,66818,0
537,CIPA,8,0
538,INTERFACES,7,0
539,DigAna,1914,0
540,CcfStatus,3,0
541,DtdDiamConfRec,20,0
542,A2ST,8,0
543,H248Profile,48,0
544,INTP,799,0
545,DIAORGNP,1,0
546,IBRGPRT,14221,0
547,GLIC,18,0
548,CertMgr,24,0
549,DIA,1,0
550,IBAMRBWTBL,32,0
551,HPMU,262,0
552,VnfcName,239,0
553,SYSTEMIMSLB,152,0
554,SGSN,10,0
555,SAEP,9750,0
556,OVL,4,0
557,OutgoingCallBarrAnaTree,5,0
558,PSU,54,0
559,PrecedUPDRMRC,20,0
560,NWLA,33491,0
561,MGCMGInterface,48,0
562,InternationalCongestion,10,0
563,IPSLS,1934,0
564,Eir,5,0
565,FMCS,1349,0
566,FprCharging,5,0
567,DFEDServerTableRecord,6,0
568,FprAifAttributes,5,0
569,AvpSetOfOnlineCha,10,0
570,HprPriorityCalls,5,0
571,CECTXTYPES,264,0
572,FNBRCFGTBL,76,0
573,AcgpnMapping,10,0
574,CFEDExFltngIPAddrAssgn,6,0
575,FephEnabledServicesTable,6,0
576,CapacityProfileCodecImage,72,0
577,ANTE,98215,0
578,WCEL,65241,0
579,TrapCommunitiesEntry,15,0
580,Vqt,24,0
581,TRACEH,1224,0
582,WNCELG,16975,0
583,TONE,484,0
584,TRMOD,8688,0
585,ScpParameters,67,0
586,Sftp,24,0
587,SNW,396,0
588,SECURITYMODE,9,0
589,PUBLISHEDREALMENTRY,48,0
590,PortIntfAssignmentEntry,66,0
591,OverloadThresh,480,0
592,PM_Schedule,2,0
593,PrCallControl,5,0
594,NRCELLGRP,346,0
595,PCPDFCONFIG,2,0
596,NokiaCDRFileUtilRatio1stAlarm,5,0
597,LAGGR,30,0
598,NodeLogPkgInfo,3,0
599,Ipv6FilterConfig,24,0
600,IPNODECONFIG,282,0
601,HCLSERVERS,45,0
602,H248LBS,57,0
603,EASIPOVL,1,0
604,EASIPFEE,1,0
605,DiameterConnectionInterface,24,0
606,ADR4GW,57714,0
607,GeneralSipParameters,5,0
608,ETHLK_R,31457,0
609,DiameterMDProfile,6,0
610,CSCFBOVL,1,0
611,ENUMTLDTable,6,0
612,STPG,11901,0
613,SVSMP,28,0
614,NBROfHomingAASubAna,5,0
615,PreceUserPlaneDestiSuban,5,0
616,NumberFormat,10,0
617,NBIOTPR,9,0
618,NationalCodes,53,0
619,PrOwnAddress,5,0
620,OVLD,4,0
621,LANE_R,76554,0
622,LNUPR,13,0
623,PLMNP,18175,0
624,CSACTIVATION,1,0
625,GNBCF_R,1,0
626,ForwarderNetworkAddress,6,0
627,AdjaceSignalPointParame,35,0
628,FprExplicitCallTransferParam,5,0
629,EutranCellBasedLocation,347279,0
630,FEATCADM,15013,0
631,AnnouncementEntity,1930,0
632,ICSCFTIMER,1,0
633,DIAMCOMMON,50,0
634,ETHQOS,4778,0
635,DIGITA,829172,0
636,TargetState,5,0
637,SSLEXTDOPT,2,0
638,SWRESETREQ,219,0
639,ServiceToDiameterTable,6,0
640,SccpSubsystemParameterSet,10,0
641,PMQAP,6,0
642,OverloadAction,264,0
643,NRDU,123,0
644,Licenses,5,0
645,IpSmGwOnlySettings,10,0
646,CommonPcscfProfileTable,6,0
647,BGCFPaniAccessTypeTableRecord,228,0
648,BorderGWPublishRealmRecord,48,0
649,ConnectionParametersIncoming,15,0
650,GTRES,2258,0
651,ACCMTXTBL,268,0
652,FMCG,1016,0
653,FEEHTTPSPROXY,1,0
654,DNSConfiguration,120,0
655,ACTIVATION,1,0
656,EAC_R,770225,0
657,FMCI,897,0
658,EAC_IN,118181,0
659,FEETIMER,1,0
660,SpecialRouteSet,3705,0
661,TIAMS,13,0
662,SmdServerProfileRec,20,0
663,SmscDenialAnalysis,185,0
664,SignallingRouteData,15,0
665,STIVSTIMER,1,0
666,SMOD_R,18916,0
667,ROUTSET,39,0
668,Record,138,0
669,RouZoneOfEPC,82,0
670,QOS,15028,0
671,NtpConfig,24,0
672,NeIdentificationResult,23,0
673,ModificationRules,40,0
674,LocDepNumTran,5718,0
675,IP_ADDRESS,2,0
676,LDAPACCESS,5,0
677,LCELGW,20502,0
678,FeatureTagEncConDataRec,6,0
679,HttpProxyInHttpProxies,10,0
680,EXXA,3748,0
681,ASPOOL,3,0
682,FHS_R,1,0
683,ARQ,5,0
684,FephAggPolicyAssignTableRecord,126,0
685,DIAGSNAP,4,0
686,ForceMessageToSmsc,10,0
687,GenericCharging,5,0
688,APWIFI,117,0
689,Thursday,5,0
690,WAC,440,0
691,SourceAddressPolicyRecord,12,0
692,TCSM,2164,0
693,SSLTRCALST,4,0
694,SECADM_R,14217,0
695,PrDxRfCodes,5,0
696,PNAPTRTargetURITable,6,0
697,PCACTIVATION,1,0
698,OutgoingCallBarrAna,45,0
699,NumberISDNEPC,5914,0
700,MediaGateway,48,0
701,LOCALSERV,2,0
702,DiamPort,120,0
703,L2SWI,26908,0
704,CgpRoamingStatusEPC,1,0
705,Config,24,0
706,FEATWADM,11436,0
707,DSSNR,201,0
708,HOPG,409,0
709,HPBLADE,107,0
710,DefaultResultOfContSuBAnaEPC,743,0
711,APUCCH_FDD,68388,0
712,CdrFieldSupServ,155,0
713,HprAnnouncementDevice,5,0
714,IBCAProfileTable,1,0
715,DigitAdditionOfGlobTitlModi,5,0
716,GPST,1,0
717,CallingPartyParametersIncoming,10,0
718,BTSNE,7190,0
719,TcpConnectionsRecord,120,0
720,TermCallRelaCdrGenePara,5,0
721,SipErrorTreatmentTableRecord,186,0
722,SipMultiparty,5,0
723,SignallingLinkSetData,10,0
724,SVACTIVATION,1,0
725,STISYSTEM,2,0
726,SERVEDAMF,123,0
727,SECURPROPS,7,0
728,SCTPLimitOfDynamicReconfig,6,0
729,TRBLCADM_R,14223,0
730,REPOSERVER,5,0
731,OrigCallRelaCdrGenePara,5,0
732,SCHARGING,4,0
733,OutgoingSignalling,50,0
734,NSE,368,0
735,IUBSNT,82,0
736,IpSmGwAddressRegistration,10,0
737,GTRULE,30,0
738,IPCLRROUT,23,0
739,IBPDFSUPPORT,2,0
740,EDCS,5333,0
741,Ipv4FilterTable,232,0
742,IICP,61,0
743,DFEDSrvPrInfrmtn,6,0
744,APMOD_R,132,0
745,DIAMET,12,0
746,AsnDataFields,345,0
747,CdrFieldSmmo,200,0
748,FEATLADM,14101,0
749,ICOFFLINE,2,0
750,CdrFieldIn5,55,0
751,UnknownResultOfStartSubanaEPC,16,0
752,Tuesday,5,0
753,VLA,172,0
754,SucceedUPDRBncSubAna,20,0
755,TRE,6931,0
756,SUBSPTRACNG,2,0
757,SipStackTimerProfileRec,5,0
758,TWAMP,130304,0
759,RNTRM,78,0
760,PcscfProfileTableRecord,6,0
761,PrAnnouncementDevice,5,0
762,PMPLM,11700,0
763,PASSDEV_R,146763,0
764,PDH,78,0
765,PCOFFLINE,2,0
766,MPLANEONAP,2,0
767,IPADDRESSES,945,0
768,FephAggFlowPolicyTableRecord,6,0
769,IBACTIVATION,1,0
770,DIASCTPCONFGN,92,0
771,DDTMF,61,0
772,FephFlowPolicyTableRecord,66,0
773,HTTPCLSCALARS,1,0
774,FephAggFlowPolicyTable,6,0
775,FEATGADM,18,0
776,CdrFieldCoc,130,0
777,IBOFFSESSION,2,0
778,ASSE,2028,0
779,ClsState,5,0
780,FAN,93,0
781,BTOOTH,1188,0
